Area,Area%,Crop Type,CropID,ETa,ETa90,ETblue,ETcv,ETcv_blue,ETgreen,Name,Precip,RETmax,RETmin,Season,TBP,TBP_P,status,year,Water Intensive (based on Etp)
1924.678692,23.4,Other Irrigated (High Water Intensive),14,477,537,168,0.104348038,0.418876801,307,Ong,150,,,3,5503,6110,IRRIGATED,2019,1
557.2884985,6.8,Other Irrigated (Less Water Intensive),15,331,414,72,0.104348038,0.418876801,256,Ong,118,,,3,4107,5462,IRRIGATED,2019,1
251.3092664,3.1,Class1,31,325,438,74,0.104348038,0.418876801,248,Ong,120,,,3,4055,5813,IRRIGATED,2019,1
4645.812465,56.4,Class4,34,404,481,107,0.104348038,0.418876801,295,Ong,146,,,3,5210,6638,IRRIGATED,2019,1
144.2194746,1.1,Other Irrigated (Less Water Intensive),15,221,324,27,0.042562362,0.543026314,190,Ong,92,,,2,6490,9716,IRRIGATED,2019,1
2518,18.5,Kharif Crop,1,436,545,49,0.087340805,0.664382019,375,Ong,1236,,,0,9937,12838,IRRIGATED,2019,1
81,0.6,Rabi Crop,2,443,773,80,0.087340805,0.664382019,356,Ong,161,,,0,10100,16316,IRRIGATED,2019,1
8,0.1,Zaid Crop,3,375,513,101,0.087340805,0.664382019,270,Ong,128,,,0,4467,8213,IRRIGATED,2019,1
76,0.6,Double Crop Kharif/Rabi,4,382,545,69,0.087340805,0.664382019,305,Ong,839,,,0,8449,14292,IRRIGATED,2019,1
4609,33.9,Double Crop Kharif/Zaid,5,822,971,171,0.087340805,0.664382019,642,Ong,1393,,,0,14289,17314,IRRIGATED,2019,1
49,0.4,Double Crop Rabi/Zaid,6,601,785,138,0.087340805,0.664382019,458,Ong,225,,,0,10544,14107,IRRIGATED,2019,1
108,0.8,Triple Crop,7,674,829,165,0.087340805,0.664382019,503,Ong,840,,,0,11293,14816,IRRIGATED,2019,1
